,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,diciembre
EDEMSA,"300,000.00","300,000.00","300,000.00","300,000.00","300,000.00","300,000.00","300,000.00","300,000.00","300,000.00"
ECOGAS,"20,000.00","20,000.00","20,000.00","20,000.00","20,000.00","20,000.00","20,000.00","20,000.00","20,000.00"
IPAL,"75,600.00","75,600.00","75,600.00","75,600.00","75,600.00","75,600.00","75,600.00","75,600.00","75,600.00"
Internet,"27,000.00","27,000.00","27,000.00","27,000.00","27,000.00","27,000.00","27,000.00","27,000.00","27,000.00"
[Casa] Gastos Hogar,"350,000.00","350,000.00","350,000.00","350,000.00","350,000.00","350,000.00","350,000.00","350,000.00","350,000.00"
[Círculo] Familia,"128,008.15",,,,,,,,
[Ahorros],"2,160,000.00","2,900,000.00","5,300,000.00","2,400,000.00","2,400,000.00","2,400,000.00","3,600,000.00","3,600,000.00","4,800,000.00"
[ARCA],"40,000.00","40,000.00","40,000.00","40,000.00","40,000.00","40,000.00","40,000.00","40,000.00","40,000.00"
GYM,"40,000.00","40,000.00","40,000.00","40,000.00","40,000.00","40,000.00","40,000.00","40,000.00","40,000.00"
Futbol Agus,"40,000.00","40,000.00","40,000.00","40,000.00","40,000.00","40,000.00","40,000.00","40,000.00","40,000.00"
Tío directv,"25,000.00","25,000.00","25,000.00","25,000.00","25,000.00","25,000.00","25,000.00","25,000.00","25,000.00"
