,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,diciembre
Sueldo,"4,800,000.00","4,800,000.00","4,800,000.00","4,800,000.00","4,800,000.00","4,800,000.00","4,800,000.00","4,800,000.00","4,800,000.00"
[Reservas/Extras],,"500,000.00","2,900,000.00",,,,"1,200,000.00","1,200,000.00","2,400,000.00"
[Tío] Prestamo Galicia,"239,971.00","237,686.00","235,371.00","232,865.00","230,274.00",,,,
[Tío] Zapatillas 3C PILI MELI,"36,666.00","36,666.00",,,,,,,
"[Flor] Zapatillas Flor Morita 1° Nov, Termina abril 6c","13,733.00",,,,,,,,
[Yolo] Silla Gammer 12 C termina mayo,"27,000.00","27,000.00",,,,,,,
[Mamá] Heladera 9c 1° Nov (Julio 26),"93,333.00","93,333.00","93,333.00","93,333.00",,,,,
[maMa] aceite,"27,233.00","27,233.00",,,,,,,
[papá] Parlante,"24,771.00","24,771.00","24,771.00","24,771.00","24,771.00","24,771.00","24,771.00","24,771.00","24,771.00"
[Jonita] Zapas Nike Empieza Octubre 2025 9C (Junio 26),"26,333.00","26,333.00","26,333.00",,,,,,
[Gustavo] Ventilador enero/dic 26,"9,708.00","9,708.00","9,708.00","9,708.00","9,708.00","9,708.00","9,708.00","9,708.00","9,708.00"
[Tía] Aire A 12c 1° Nov (oct 26),"95,180.00","95,180.00","95,180.00","95,180.00","95,180.00","95,180.00","95,180.00",,
[Gonza] Puma Borussia,"10,000.00","10,000.00","10,000.00",,,,,,
[Gonza] Puma Platense,"21,666.00","21,666.00","21,666.00",,,,,,
